date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:32	2861/2861	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:31%20GMT	https://thenewgym.vn/wp-json/wp/v2/pages/6553	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-json/wp/v2/pages/6553.json	(from https://thenewgym.vn/xoa-tai-khoan/)
21:04:33	2183/2183	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:32%20GMT	https://thenewgym.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fxoa-tai-khoan%2F	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-json/oembed/1.0/embedd485.json	(from https://thenewgym.vn/xoa-tai-khoan/)
21:04:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jun%202024%2014:06:32%20GMT	https://thenewgym.vn/?p=6553	D:/Fresher_Training/QNSportict/thenewgym.vn/indexbfa0.html	(from https://thenewgym.vn/xoa-tai-khoan/)
21:04:34	2347/2347	---M-Z	200	added ('OK')	text/xml	date:Sun,%2016%20Jun%202024%2014:06:33%20GMT	https://thenewgym.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fxoa-tai-khoan%2F&format=xml	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-json/oembed/1.0/embed1679	(from https://thenewgym.vn/xoa-tai-khoan/)
21:04:35	7629/7629	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:34%20GMT	https://thenewgym.vn/en/wp-json/wp/v2/pages/1276	D:/Fresher_Training/QNSportict/thenewgym.vn/en/wp-json/wp/v2/pages/1276.json	(from https://thenewgym.vn/en/about-us/)
21:04:36	2125/2125	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:36%20GMT	https://thenewgym.vn/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fen%2Fabout-us%2F	D:/Fresher_Training/QNSportict/thenewgym.vn/en/wp-json/oembed/1.0/embedbd0b.json	(from https://thenewgym.vn/en/about-us/)
21:04:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jun%202024%2014:06:36%20GMT	https://thenewgym.vn/en/?p=1276	D:/Fresher_Training/QNSportict/thenewgym.vn/en/index6c09.html	(from https://thenewgym.vn/en/about-us/)
21:04:37	2275/2275	---M-Z	200	added ('OK')	text/xml	date:Sun,%2016%20Jun%202024%2014:06:37%20GMT	https://thenewgym.vn/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fen%2Fabout-us%2F&format=xml	D:/Fresher_Training/QNSportict/thenewgym.vn/en/wp-json/oembed/1.0/embed699d	(from https://thenewgym.vn/en/about-us/)
21:04:37	67140/67140	---M--	200	added ('OK')	image/webp	date:Thu,%2029%20Dec%202022%2006:55:50%20GMT	https://thenewgym.vn/wp-content/uploads/2022/12/pd-1.webp	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2022/12/pd-1.webp	(from https://thenewgym.vn/en/about-us/)
21:04:38	435845/435845	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2004:13:14%20GMT	https://thenewgym.vn/wp-content/uploads/2023/01/cackhutapluyen.png	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2023/01/cackhutapluyen.png	(from https://thenewgym.vn/en/about-us/)
